n,seed,iou_event,dice_event,f1_event,precision_event,recall_event,pred_fp50_frame,gt_fp50_frame,avg_pred_wp,avg_gt_wp,abs_wp_error
40,0,0.3773,0.524,0.524,0.5816,0.5217,198.9,200.0,-3.6677863344502706,-3.6825006652707066,0.01471433082043605
40,1,0.3691,0.5133,0.5133,0.588,0.5042,196.7,200.0,-3.6435790551032397,-3.6825006652707066,0.03892161016746698
40,2,0.3155,0.4448,0.4448,0.6118,0.3897,198.3,200.0,-3.665814255037901,-3.6825006652707066,0.016686410232805482
46,0,0.3806,0.5285,0.5285,0.5605,0.5474,202.2,200.0,-3.7103967140571283,-3.6825006652707066,0.027896048786421712
4,0,0.2773,0.4021,0.4021,0.4725,0.4187,178.0,200.0,-3.4137082991689445,-3.6825006652707066,0.26879236610176216
4,1,0.3345,0.4702,0.4702,0.5703,0.4544,202.1,200.0,-3.7085878102228413,-3.6825006652707066,0.02608714495213471
4,2,0.3702,0.5178,0.5178,0.5242,0.57,201.9,200.0,-3.7020987546096613,-3.6825006652707066,0.019598089338954683
4,3,0.3265,0.4638,0.4638,0.5231,0.4726,198.9,200.0,-3.670238898963183,-3.6825006652707066,0.012261766307523736
4,4,0.3514,0.495,0.495,0.5331,0.5334,195.9,200.0,-3.6349329051028443,-3.6825006652707066,0.04756776016786235
4,5,0.3122,0.4445,0.4445,0.4788,0.4935,203.4,200.0,-3.7285351463743623,-3.6825006652707066,0.04603448110365571
4,6,0.2813,0.4068,0.4068,0.6377,0.334,204.7,200.0,-3.7395473622394264,-3.6825006652707066,0.05704669696871978
4,7,0.3066,0.4361,0.4361,0.5946,0.3908,201.9,200.0,-3.6990514544770656,-3.6825006652707066,0.016550789206358996
4,8,0.3363,0.4749,0.4749,0.5886,0.4412,199.8,200.0,-3.6700194395534154,-3.6825006652707066,0.012481225717291267
4,9,0.3429,0.4837,0.4837,0.5894,0.4636,197.5,200.0,-3.6424706435254324,-3.6825006652707066,0.04003002174527426
8,0,0.3462,0.4884,0.4884,0.5383,0.5081,204.4,200.0,-3.7270504023244073,-3.6825006652707066,0.04454973705370069
8,1,0.3752,0.5237,0.5237,0.5494,0.5502,200.5,200.0,-3.6851631390462187,-3.6825006652707066,0.0026624737755120975
8,2,0.3695,0.5159,0.5159,0.554,0.5336,200.4,200.0,-3.6826481066495047,-3.6825006652707066,0.0001474413787980744
8,3,0.3304,0.4652,0.4652,0.5936,0.4284,201.6,200.0,-3.6979729072821597,-3.6825006652707066,0.01547224201145303
8,4,0.3453,0.4854,0.4854,0.5578,0.49,199.7,200.0,-3.686373980787701,-3.6825006652707066,0.0038733155169943245
8,5,0.3552,0.4982,0.4982,0.5705,0.4929,202.8,200.0,-3.714059532948613,-3.6825006652707066,0.03155886767790639
8,6,0.3108,0.4437,0.4437,0.6485,0.3695,200.9,200.0,-3.692175968510861,-3.6825006652707066,0.00967530324015442
8,7,0.2909,0.4141,0.4141,0.6144,0.3475,204.0,200.0,-3.7299412982965423,-3.6825006652707066,0.04744063302583568
